Gruppe A;;1;Russland;;:;;Saudi-Arabien;Do, 14.06. 17:00, Moskau;;;;A;Tabelle;Punkte;Tore;;;TD;;;;AF1;1. Gruppe C;;:;;2. Gruppe D;Sa, 30.06. 16:00, Kasan;;;;;;;;;;;;;
;;2;Ägypten;;:;;Uruguay;Fr, 15.06. 14:00, Jekaterinburg;;;;1;Russland;0;0;:;0;0;;;;AF2;1. Gruppe A;;:;;2. Gruppe B;Sa, 30.06. 20:00, Sotschi;;;;;;;;;;;;;
Russland;;3;Russland;;:;;Ägypten;Di, 19.06. 20:00, St. Petersbrug ;;;;2;Saudi-Arabien;0;0;:;0;0;;;;AF3;1. Gruppe B;;:;;2. Gruppe A;So, 01.07. 16:00, Moskau;;;;;;;;;;;;;
Saudi-Arabien;;4;Uruguay;;:;;Saudi-Arabien;Mi. 20.06. 17:00, Rostow am Don;;;;3;Ägypten;0;0;:;0;0;;;;AF4;1. Gruppe D;;:;;2. Gruppe C;So, 01.07. 20:00, Nischni Nowograd;;;;;;;;;;;;;
Ägypten ;;5;Uruguay;;:;;Russland;Mo, 25.06. 16:00, Samara;;;;4;Uruguay;0;0;:;0;0;;;;AF5;1. Gruppe E;;:;;2. Gruppe F;Mo, 02.07. 16:00, Samara;;;;;;;;;;;;;
Uruguay;;6;Saudi-Arabien;;:;;Ägypten;Mo, 25.06. 16:00, Wolgograd;;;;;;;;;;;;;;AF6;1. Gruppe G;;:;;2. Gruppe H;Mo, 02.07. 20:00, Rostow am Dom;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;AF7;1. Gruppe F;;:;;2. Gruppe E;Di, 03.07. 16:00, St. Petersburg;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;AF8;1. Gruppe H;;:;;2. Gruppe G;Di, 03.07. 20:00, Moskau;;;;;;;;;;;;;
Gruppe B ;;1;Marokko;;:;;Iran;Fr, 15.06. 17:00, St. Petersburg;;;;B;Tabelle;Punkte;Tore;;;TD;;;;;;;;;;;;;;;;;;;;;;;
;;2;Portugal;;:;;Spanien;Fr, 15.06. 20:00, Sotschi;;;;1;Portugal;0;0;:;0;0;;;;;;;;;;;;;;;;;;;;;;;
